EQUIPO_ID, MARCA,EQUIPO,MODELO,SERIE,ESTADO
EQP-2025-001,STERIS,ESTERILIZADOR A VAPOR,V100,S1234567,Operativo
EQP-2025-002,ASP,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,STERILAD,S1234568,En mantenimiento
EQP-2025-003,GETINGE,SELLADORA TERMICA,V50,S1234569,Operativo
EQP-2025-004,3M,LAVADORA DESINFECTADORA,L-SERIES-200,S1234570,Operativo
EQP-2025-005,STERIS,INCUBADORA,I-SERIES-100,S1234571,Pendiente de revisi�n
EQP-2025-006,ASP,ESTERILIZADOR A VAPOR,A200,S1234572,Operativo
EQP-2025-007,GETINGE,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,G-PEROXIDO-300,S1234573,Operativo
EQP-2025-008,3M,SELLADORA TERMICA,M-SERIES-400,S1234574,En mantenimiento
EQP-2025-009,STERIS,LAVADORA DESINFECTADORA,V250,S1234575,Operativo
EQP-2025-010,ASP,INCUBADORA,I-ASP-500,S1234576,Operativo
EQP-2025-011,GETINGE,ESTERILIZADOR A VAPOR,V-GET-600,S1234577,Operativo
EQP-2025-012,3M,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,M-PEROX-700,S1234578,Pendiente de revisi�n
EQP-2025-013,STERIS,SELLADORA TERMICA,V-TER-800,S1234579,Operativo
EQP-2025-014,ASP,LAVADORA DESINFECTADORA,A-LAV-900,S1234580,Operativo
EQP-2025-015,GETINGE,INCUBADORA,G-INC-1000,S1234581,En mantenimiento
EQP-2025-016,3M,ESTERILIZADOR A VAPOR,M-VAP-1100,S1234582,Operativo
EQP-2025-017,STERIS,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,V-PEROX-1200,S1234583,Operativo
EQP-2025-018,ASP,SELLADORA TERMICA,A-TER-1300,S1234584,Pendiente de revisi�n
EQP-2025-019,GETINGE,LAVADORA DESINFECTADORA,G-LAV-1400,S1234585,Operativo
EQP-2025-020,3M,INCUBADORA,M-INC-1500,S1234586,Operativo
EQP-2025-021,STERIS,ESTERILIZADOR A VAPOR,V101,S1234587,Operativo
EQP-2025-022,ASP,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,STERILAD-2,S1234588,En mantenimiento
EQP-2025-023,GETINGE,SELLADORA TERMICA,V51,S1234589,Operativo
EQP-2025-024,3M,LAVADORA DESINFECTADORA,L-SERIES-201,S1234590,Operativo
EQP-2025-025,STERIS,INCUBADORA,I-SERIES-101,S1234591,Pendiente de revisi�n
EQP-2025-026,ASP,ESTERILIZADOR A VAPOR,A201,S1234592,Operativo
EQP-2025-027,GETINGE,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,G-PEROXIDO-301,S1234593,Operativo
EQP-2025-028,3M,SELLADORA TERMICA,M-SERIES-401,S1234594,En mantenimiento
EQP-2025-029,STERIS,LAVADORA DESINFECTADORA,V251,S1234595,Operativo
EQP-2025-030,ASP,INCUBADORA,I-ASP-501,S1234596,Operativo
EQP-2025-031,GETINGE,ESTERILIZADOR A VAPOR,V-GET-601,S1234597,Operativo
EQP-2025-032,3M,ESTERILIZADOR A PER�XIDO DE HIDR�GENO,M-PEROX-701,S1234598,Pendiente de revisi�n
EQP-2025-033,STERIS,SELLADORA TERMICA,V-TER-801,S1234599,Operativo
EQP-2025-034,ASP,LAVADORA DESINFECTADORA,A-LAV-901,S1234600,Operativo
