id_equipo,nombre_equipo,marca,categoria,modelo,numero_serie,frecuencia_mantenimiento_meses,vida_util_meses,precio_unitario,estado
EQ-0001,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V100,S3749420,6,120,12167.02,Operativo
EQ-0002,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD,S8923900,6,60,5771.61,En mantenimiento
EQ-0003,SELLADORA TERMICA,GETINGE,SELLADORA,V50,S1644957,12,60,27611.99,Operativo
EQ-0004,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-200,S3679250,6,60,7302.27,Operativo
EQ-0005,INCUBADORA,STERIS,INCUBADORA,I-SERIES-100,S4254702,12,120,14411.96,Pendiente de revision
EQ-0006,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A200,S2510670,6,120,28759.01,Operativo
EQ-0007,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-300,S6099490,6,84,19852.6,Operativo
EQ-0008,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-400,S9430123,12,60,27699.35,En mantenimiento
EQ-0009,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V250,S6418615,6,60,7132.28,Operativo
EQ-0010,INCUBADORA,ASP,INCUBADORA,I-ASP-500,S5652701,12,120,20871.21,Operativo
EQ-0011,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-600,S8013577,6,60,19854.5,Operativo
EQ-0012,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-700,S2928133,6,84,23740.16,Pendiente de revision
EQ-0013,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-800,S3577680,12,84,5993.61,Operativo
EQ-0014,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-900,S3731381,6,60,19238.26,Operativo
EQ-0015,INCUBADORA,GETINGE,INCUBADORA,G-INC-1000,S2534818,12,120,22142.77,En mantenimiento
EQ-0016,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1100,S1239851,6,60,20222.04,Operativo
EQ-0017,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1200,S1388328,6,84,15931.23,Operativo
EQ-0018,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1300,S9420711,12,60,15821.64,Pendiente de revision
EQ-0019,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1400,S3825358,6,120,25497.27,Operativo
EQ-0020,INCUBADORA,3M,INCUBADORA,M-INC-1500,S9671362,12,84,21275.67,Operativo
EQ-0021,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V101,S6736316,6,120,22213.46,Operativo
EQ-0022,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-2,S5489662,6,84,7003.38,En mantenimiento
EQ-0023,SELLADORA TERMICA,GETINGE,SELLADORA,V51,S4718432,12,84,27062.65,Operativo
EQ-0024,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-201,S9056883,6,60,14115.91,Operativo
EQ-0025,INCUBADORA,STERIS,INCUBADORA,I-SERIES-101,S9183175,12,84,11964.81,Pendiente de revision
EQ-0026,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A201,S9583241,6,120,19067.85,Operativo
EQ-0027,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-301,S7861981,6,60,19708.15,Operativo
