id_venta,id_cliente,id_equipo,fecha_compra,cantidad,precio_unitario,precio_total,numero_serie,ubicacion_instalacion,contrato_mantenimiento
VE-0001,CL-0049,EQ-0135,22/03/2023,1,9261.51,9261.51,S9194286,Av. Proceres de la Independencia 1234,No
VE-0002,CL-0040,EQ-0067,25/03/2025,2,14392.65,28785.3,S8969426,"Calle 18 Mz C Lt 5, Urb. El Retablo",No
VE-0003,CL-0023,EQ-0056,30/09/2024,2,6416.24,12832.48,S7436749,"Calle Ocharan 400, Dpto 101",Si
VE-0004,CL-0025,EQ-0092,16/03/2023,2,10469.52,20939.04,S8136271,Jiron El Polo 1587,Si
VE-0005,CL-0052,EQ-0133,27/10/2022,3,18194.26,54582.78,S3801486,Av. Javier Prado Este 2500,No
VE-0006,CL-0087,EQ-0019,22/01/2023,3,25497.27,76491.81,S3825358,Av. Alameda del Corregidor 890,Si
VE-0007,CL-0095,EQ-0123,27/10/2025,3,5089.12,15267.36,S3383743,Av. Cuba 750,No
VE-0008,CL-0137,EQ-0084,30/12/2024,2,8363.18,16726.36,S4328199,Jr. Risso 333,No
VE-0009,CL-0049,EQ-0099,30/05/2023,1,5513.1,5513.1,S9383006,Av. Bolivar 905,No
VE-0010,CL-0046,EQ-0071,21/08/2023,2,19476.87,38953.74,S6654245,Jr. Saenz Pena 412,Si
VE-0011,CL-0040,EQ-0039,25/08/2022,2,18638.04,37276.08,S6609635,Av. La Marina 2000,No
VE-0012,CL-0005,EQ-0037,01/03/2022,3,7822.42,23467.26,S1193428,Av. Carretera Central Km 7.5,No
VE-0013,CL-0039,EQ-0067,07/01/2023,3,14392.65,43177.95,S8969426,Av. Huaylas 110,No
VE-0014,CL-0129,EQ-0053,14/05/2024,2,13002.84,26005.68,S6540639,Calle San Martin 555,No
VE-0015,CL-0084,EQ-0143,17/05/2024,1,18697.57,18697.57,S5904726,Av. Tupac Amaru 3450,Si
VE-0016,CL-0089,EQ-0035,23/05/2022,3,19582.41,58747.23,S2306255,Jr. Aguarico 222,No
VE-0017,CL-0061,EQ-0064,15/02/2024,1,16328.45,16328.45,S7597594,Av. Faucett 600,Si
VE-0018,CL-0037,EQ-0086,05/11/2024,2,6599.3,13198.6,S5899561,"Mz D Lt 10, Urb. Satelite",No
VE-0019,CL-0030,EQ-0071,19/11/2023,1,19476.87,19476.87,S6654245,Av. Principal 140,No
VE-0020,CL-0039,EQ-0005,20/11/2024,3,14411.96,43235.88,S4254702,Jiron Ancash 200,No
VE-0021,CL-0046,EQ-0146,02/02/2022,1,10890.71,10890.71,S5086169,"Sector 2, Grupo 15, Mz B",Si
VE-0022,CL-0095,EQ-0077,09/12/2021,3,6462.12,19386.36,S9725856,Av. Canta Callao 300,Si
VE-0023,CL-0120,EQ-0082,08/04/2022,3,11061.33,33183.99,S9256293,Av. Las Palmeras 1850,No
VE-0024,CL-0016,EQ-0117,07/06/2024,1,6456.84,6456.84,S9232435,Carretera Canta 100,No
VE-0025,CL-0100,EQ-0100,04/07/2023,1,23497.5,23497.5,S1507675,Sector Huertos de Manchay,Si
VE-0026,CL-0056,EQ-0124,12/03/2023,1,25821.35,25821.35,S9380025,Av. Cultura 100,No
VE-0027,CL-0062,EQ-0064,30/01/2025,2,16328.45,32656.9,S7597594,Av. Salvador Allende 999,Si
VE-0028,CL-0120,EQ-0035,15/06/2025,2,19582.41,39164.82,S2306255,Calle Los Sauces 45,Si
VE-0029,CL-0011,EQ-0144,06/10/2025,2,20648.91,41297.82,S8777892,Antigua Panamericana Sur Km 35,No
VE-0030,CL-0021,EQ-0094,06/04/2025,3,6191.54,18574.62,S9677152,Av. Samuel Alcazar 600,No
VE-0031,CL-0101,EQ-0077,15/02/2025,2,6462.12,12924.24,S9725856,Av. San Borja Sur 500,No
VE-0032,CL-0131,EQ-0025,29/11/2023,3,11964.81,35894.43,S9183175,Calle Los Halcones 88,No
VE-0033,CL-0017,EQ-0081,22/05/2025,2,29565.91,59131.82,S3537124,Paseo de la Republica 3200,Si
VE-0034,CL-0047,EQ-0146,31/07/2023,1,10890.71,10890.71,S5086169,Jr. El Remanso 105,Si
VE-0035,CL-0048,EQ-0095,17/03/2024,2,12412.52,24825.04,S2254188,Av. Pardo de Zela 1100,Si
VE-0036,CL-0086,EQ-0046,18/02/2022,3,11747.2,35241.6,S6525693,Calle Julio C. Tello 400,Si
VE-0037,CL-0079,EQ-0089,01/09/2023,2,9014.6,18029.2,S7170763,Av. Elmer Faucett 100,No
VE-0038,CL-0077,EQ-0005,09/05/2023,1,14411.96,14411.96,S4254702,Av. Caminos del Inca 1650,No
VE-0039,CL-0073,EQ-0114,24/11/2023,1,25600.11,25600.11,S4482531,Av. San Felipe 1010,No
VE-0040,CL-0090,EQ-0143,05/10/2022,3,18697.57,56092.71,S5904726,Alameda Sur 99,Si
VE-0041,CL-0078,EQ-0001,30/03/2023,3,12167.02,36501.06,S3749420,Jr. Comandante Espinar 300,No
VE-0042,CL-0021,EQ-0108,17/01/2025,1,19020.46,19020.46,S7103040,Av. Wiesse 500,No
VE-0043,CL-0047,EQ-0108,22/01/2022,2,19020.46,38040.92,S7103040,Av. Universitaria Norte 700,No
VE-0044,CL-0071,EQ-0079,04/01/2022,1,10031.05,10031.05,S7544417,Calle Miguel Dasso 150,Si
VE-0045,CL-0010,EQ-0004,04/03/2025,2,7302.27,14604.54,S3679250,Av. Pardo 1300,Si
VE-0046,CL-0059,EQ-0081,27/11/2024,2,29565.91,59131.82,S3537124,Av. Angelica Gamarra 400,No
VE-0047,CL-0132,EQ-0022,28/08/2024,1,7003.38,7003.38,S5489662,Calle Los Duraznos 50,No
VE-0048,CL-0012,EQ-0106,02/11/2025,3,13585.5,40756.5,S9584328,Av. San Martin 2200,Si
VE-0049,CL-0018,EQ-0069,06/01/2024,2,25387.23,50774.46,S7421585,Av. Los Eucaliptos 600,Si
VE-0050,CL-0084,EQ-0096,02/04/2024,3,21324.72,63974.16,S1036493,"Sector 3, Grupo 8",No
VE-0051,CL-0135,EQ-0054,26/04/2022,2,28968.82,57937.64,S7712703,Av. Peru 200,Si
VE-0052,CL-0126,EQ-0014,23/04/2025,3,19238.26,57714.78,S3731381,Parque Industrial Mz D,No
VE-0053,CL-0102,EQ-0028,18/12/2021,1,26940.3,26940.3,S3531148,Av. Tingo Maria 800,No
VE-0054,CL-0098,EQ-0098,16/06/2022,1,10452.66,10452.66,S5586731,Carretera Panamericana Sur Km 30,No
VE-0055,CL-0082,EQ-0077,25/06/2023,3,6462.12,19386.36,S9725856,Jr. Tarapaca 150,No
VE-0056,CL-0113,EQ-0017,26/06/2024,1,15931.23,15931.23,S1388328,Av. Aviacion 2800,No
VE-0057,CL-0085,EQ-0122,22/10/2025,3,21144.69,63434.07,S8869621,Calle 1 Mz G Lt 12,Si
VE-0058,CL-0015,EQ-0021,10/06/2025,2,22213.46,44426.92,S6736316,Av. Comandante Espinar 600,Si
VE-0059,CL-0034,EQ-0137,20/08/2024,3,24629.06,73887.18,S8037103,Calle Los Cipreses 400,Si
VE-0060,CL-0031,EQ-0066,26/02/2022,1,11523.24,11523.24,S1307281,Jr. Manuel Candamo 90,Si
VE-0061,CL-0055,EQ-0109,08/12/2022,3,25894.13,77682.39,S7922219,Av. La Paz 1050,Si
VE-0062,CL-0101,EQ-0015,23/09/2023,1,22142.77,22142.77,S2534818,Av. Costanera 500,Si
VE-0063,CL-0020,EQ-0006,20/07/2025,2,28759.01,57518.02,S2510670,Av. Benavides 4000,Si
VE-0064,CL-0100,EQ-0111,13/02/2022,2,14770.47,29540.94,S5507992,Calle Jose Maria Plaza 100,Si
VE-0065,CL-0002,EQ-0008,15/09/2022,1,27699.35,27699.35,S9430123,Malecon Grau 80,Si
VE-0066,CL-0108,EQ-0137,29/07/2023,2,24629.06,49258.12,S8037103,Av. Juan de Aliaga 100,Si
VE-0067,CL-0111,EQ-0043,10/04/2023,2,23986.12,47972.24,S7745042,Jr. Los Tulipanes 300,Si
VE-0068,CL-0042,EQ-0007,09/08/2025,2,19852.6,39705.2,S6099490,Av. Micaela Bastidas 50,No
VE-0069,CL-0027,EQ-0090,20/07/2024,2,24085.24,48170.48,S7153032,Av. Salaverry 2900,Si
VE-0070,CL-0055,EQ-0064,10/05/2022,2,16328.45,32656.9,S7597594,Calle Porta 170,No
VE-0071,CL-0044,EQ-0046,06/09/2023,2,11747.2,23494.4,S6525693,Av. Carlos Izaguirre 90,No
VE-0072,CL-0109,EQ-0093,25/06/2024,3,20112.96,60338.88,S4618812,Av. El Pacifico 250,No
VE-0073,CL-0134,EQ-0046,28/12/2022,2,11747.2,23494.4,S6525693,Av. Tupac Amaru Km 20,No
VE-0074,CL-0091,EQ-0086,19/05/2024,2,6599.3,13198.6,S5899561,Jr. Los Duraznos 100,Si
VE-0075,CL-0070,EQ-0054,24/05/2025,3,28968.82,86906.46,S7712703,Av. Revolucion 100,Si
VE-0076,CL-0005,EQ-0069,08/09/2022,1,25387.23,25387.23,S7421585,Av. Zarumilla 50,Si
VE-0077,CL-0067,EQ-0086,21/05/2025,3,6599.3,19797.9,S5899561,Av. Cesar Vallejo 150,Si
VE-0078,CL-0092,EQ-0059,08/12/2023,1,8689.77,8689.77,S4054016,Jr. Carhuaz 450,No
VE-0079,CL-0082,EQ-0073,01/07/2022,1,25492.23,25492.23,S4237975,Plaza de Armas S/N,Si
VE-0080,CL-0019,EQ-0044,17/08/2023,2,29349.96,58699.92,S4075769,Jr. Trujillo 300,No
VE-0081,CL-0100,EQ-0004,19/07/2022,1,7302.27,7302.27,S3679250,Av. Primavera 1000,Si
VE-0082,CL-0103,EQ-0108,03/03/2023,3,19020.46,57061.38,S7103040,Av. Villaran 700,Si
VE-0083,CL-0085,EQ-0087,19/06/2025,3,8208.71,24626.13,S6440458,Calle Coronel Inclan 300,Si
VE-0084,CL-0034,EQ-0105,05/10/2025,1,23401.07,23401.07,S8314454,Av. Raul Ferrero 1200,Si
VE-0085,CL-0135,EQ-0014,01/03/2023,2,19238.26,38476.52,S3731381,Av. Arenales 2000,Si
VE-0086,CL-0090,EQ-0024,17/01/2023,3,14115.91,42347.73,S9056883,Av. Sucre 800,Si
VE-0087,CL-0055,EQ-0036,14/01/2023,1,7419.33,7419.33,S6234658,Av. Insurgentes 650,Si
VE-0088,CL-0033,EQ-0123,17/01/2024,1,5089.12,5089.12,S3383743,Av. Morro Solar 1100,Si
VE-0089,CL-0011,EQ-0112,31/12/2024,2,7554.71,15109.42,S1382810,Jr. Mariscal Luzuriaga 120,No
VE-0090,CL-0081,EQ-0131,09/05/2022,3,8172.04,24516.12,S9295061,Av. El Sol 400,Si
VE-0091,CL-0119,EQ-0105,06/11/2025,3,23401.07,70203.21,S8314454,Jr. Leoncio Prado 900,Si
VE-0092,CL-0045,EQ-0144,03/12/2025,2,20648.91,41297.82,S8777892,Av. Gran Chimu 800,Si
VE-0093,CL-0036,EQ-0104,02/07/2022,1,29728.43,29728.43,S6821405,Av. Puno 100,Si
VE-0094,CL-0103,EQ-0011,03/03/2025,2,19854.5,39709,S8013577,Calle Choquehuanca 150,No
VE-0095,CL-0045,EQ-0071,24/07/2022,2,19476.87,38953.74,S6654245,Av. Larco 700,No
VE-0096,CL-0101,EQ-0018,06/08/2025,2,15821.64,31643.28,S9420711,Av. Naranjal 550,Si
VE-0097,CL-0096,EQ-0148,10/03/2024,1,21947.3,21947.3,S8824280,Av. Chinchaysuyo 1500,No
VE-0098,CL-0033,EQ-0074,08/12/2022,2,23414,46828,S1305761,Jr. Los Girasoles 80,Si
VE-0099,CL-0022,EQ-0131,25/10/2025,1,8172.04,8172.04,S9295061,Av. Huancaray 500,No
